Brand,Type,Reg_year,Reg_month,Days_since_registration,Coe_left,Depreciation,Mileage,Road_Tax,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,ARF,Power,Number_of_Owners,Price
Volkswagen,Mpv,2019,7,2014,2939,13740,20000,1194,63757,39406,1984,1790,2019,Auto,35887,42242,162,1,133000
Lexus,Suv,2018,9,2323,2658,16140,55000,1210,66762,33420,1998,1755,2018,Auto,46099,56539,175,1,146000
Kia,Sports Car,2010,6,5341,1469,8940,130000,812,13240,16438,1591,1207,2010,Manual,14160,14160,92,5,35999
Nissan,Sports Car,2009,12,5508,3124,11760,148000,4169,33701,39313,3696,1490,2009,Manual,50809,50809,245,4,100800
Mercedes-Benz,Luxury Sedan,2013,9,4157,825,17830,78856,1202,51770,77600,1991,1680,2013,Auto,49985,56979,155,3,68888
Mercedes-Benz,Suv,2019,11,1898,3082,13350,14288,740,49259,30000,1595,1435,2019,Auto,28463,31849,90,2,128800
Toyota,Suv,2020,7,1644,3308,8470,14830,392,37083,33520,996,970,2020,Auto,18546,8546,72,1,81800
Bmw,Luxury Sedan,2009,6,5697,2879,7820,160000,2155,27989,35411,2497,1605,2009,Auto,52627,52627,160,3,61800
Mercedes-Benz,Luxury Sedan,2018,5,2457,2522,18180,59000,1202,80871,39001,1991,1605,2018,Auto,55451,71812,135,1,161800
Porsche,Suv,2020,11,1523,3456,32970,1800,2380,145910,41503,2995,2105,2020,Auto,99333,150800,250,1,388000
Bmw,Luxury Sedan,2010,7,5301,3304,8700,139500,1976,30680,33568,2497,1650,2010,Auto,42006,42006,150,5,79500
Mitsubishi,Mid-Sized Sedan,2017,6,2785,2198,6520,33000,70,24298,34106,1193,940,2017,Auto,12940,5000,57,1,41800
Volkswagen,Sports Car,2011,4,5027,3604,9990,118000,1313,46797,47316,1984,1364,2011,Auto,35702,35702,188,3,98800
Bmw,Luxury Sedan,2020,9,1583,3397,20450,6600,1210,90025,41510,1998,1540,2020,Auto,53590,68462,135,1,224800
Mercedes-Benz,Suv,2018,3,2515,2465,22790,54000,1202,70595,38801,1991,1785,2017,Auto,47965,59151,155,1,183800
Toyota,Suv,2016,1,3288,1692,13910,49170,1196,46782,58109,1986,1610,2015,Auto,29454,28236,111,1,78800
Mercedes-Benz,Suv,2020,2,1798,3180,22040,16000,1202,74057,37705,1991,1730,2019,Auto,44890,54846,145,1,219888
Mercedes-Benz,Hatchback,2013,12,4072,909,14630,100000,740,28179,73160,1595,1395,2013,Auto,24641,16498,115,3,44800
Volkswagen,Luxury Sedan,2016,12,2952,2028,11740,46000,976,51641,51109,1798,1480,2016,Auto,31369,30917,132,1,80800
Subaru,Suv,2018,10,2312,2669,10930,59000,1208,33169,31307,1995,1591,2018,Auto,13656,13656,110,1,86888
Mercedes-Benz,Suv,2020,3,1786,3193,13800,13134,740,50231,30010,1595,1435,2019,Auto,28512,31917,90,1,136900
Mercedes-Benz,Suv,2018,8,2351,2631,13450,54000,740,51011,38001,1595,1435,2018,Auto,28179,31451,90,1,112800
Mitsubishi,Mid-Sized Sedan,2009,6,5699,1025,8370,120121,821,7196,12763,1499,1313,2009,Auto,16812,16812,80,3,23600
Mini,Hatchback,2020,11,1525,3454,11400,3000,684,49020,37690,1499,1140,2020,Auto,25526,17737,75,1,116888
Bmw,Sports Car,2015,11,3369,1612,19490,40000,2362,75075,60000,2979,1525,2015,Auto,54118,69413,250,3,121000
Toyota,Mid-Sized Sedan,2015,8,3449,1534,10930,108000,742,37232,55889,1598,1205,2015,Auto,19589,19589,90,1,55800
Ford,Stationwagon,2017,2,2899,2079,8470,74472,392,38731,48401,999,1345,2016,Auto,19777,14777,92,1,55800
Bmw,Sports Car,2009,7,5671,2850,22090,135000,4738,25826,33018,3999,1580,2009,Auto,106509,106509,308,5,172800
Honda,Suv,2019,1,2197,2782,9520,37000,682,28708,26170,1496,1190,2018,Auto,21160,11624,96,1,78500
Toyota,Mpv,2008,12,5901,2731,8110,189000,2129,23652,31553,2362,1845,2008,Auto,34440,34440,125,2,60800
Subaru,Suv,2018,3,2508,2472,9940,106000,1208,38567,39001,1995,1489,2017,Auto,16133,16133,115,1,75500
Opel,Hatchback,2016,5,3180,1799,8480,61000,606,34683,48002,1364,1396,2015,Auto,17797,17797,88,2,50800
Honda,Sports Car,2008,11,5917,2545,9560,95000,1573,27056,38712,1998,1345,2008,Manual,32045,23346,148,4,66800
Subaru,Suv,2018,6,2408,2575,11050,24000,1208,35586,36000,1995,1591,2018,Auto,13559,13559,110,1,84800
Toyota,Mid-Sized Sedan,2015,1,3654,1326,10230,85000,684,29640,65001,1497,1045,2014,Auto,14133,9133,80,1,41888
Volkswagen,Suv,2014,6,3866,1118,15720,89000,1194,47431,65700,1984,1689,2013,Auto,35702,41983,155,3,69200
Mercedes-Benz,Luxury Sedan,2014,10,3753,1229,20570,79568,1202,45662,72180,1991,1480,2014,Auto,36262,32767,155,3,85800
Nissan,Suv,2016,10,3029,1952,11340,51770,1210,48116,55501,1997,1626,2016,Auto,23227,24518,106,1,73000
Toyota,Mid-Sized Sedan,2020,3,1766,3213,8380,17000,682,39231,32699,1496,1085,2019,Auto,13870,13870,79,1,80800
Mercedes-Benz,Suv,2020,2,1822,3157,14040,8000,740,48888,32000,1595,1435,2019,Auto,25864,28210,90,1,135800
Mercedes-Benz,Suv,2018,7,2400,2583,13350,25000,740,51963,38941,1595,1435,2018,Auto,28937,32512,90,1,110800
Porsche,Sports Car,2011,8,4905,3640,33040,69500,3638,49662,49716,3800,1525,2011,Auto,146912,146912,300,2,330000
Subaru,Mid-Sized Sedan,2007,4,6510,295,12250,200000,1113,4036,24715,1597,1280,2007,Auto,12373,9537,70,3,10000
Land Rover,Suv,2012,1,4762,219,70780,61000,1212,35721,64889,1999,1690,2011,Auto,63513,63513,177,4,75000
Mercedes-Benz,Luxury Sedan,2017,3,2877,2103,15600,55201,740,51534,48401,1595,1430,2016,Auto,31756,31459,90,1,105800
Mini,Sports Car,2019,7,2021,2932,18000,31000,1210,61580,34000,1998,1255,2019,Auto,38066,45293,170,1,168800
Toyota,Mpv,2018,11,2275,2705,15960,55000,1792,55356,31302,2493,1940,2018,Auto,36300,42820,134,1,139888
Mercedes-Benz,Sports Car,2010,12,5161,3370,11350,90000,1071,30416,32914,1796,1695,2010,Auto,63555,63555,150,3,104888
Honda,Mid-Sized Sedan,2020,3,1793,3184,11480,16700,684,50461,32889,1498,1310,2020,Auto,26388,28944,127,1,114800
Honda,Hatchback,2009,4,5753,1053,7870,142000,767,7587,13088,1339,1090,2009,Auto,20033,20033,73,4,22800
Honda,Hatchback,2015,8,3466,1488,10100,60688,684,29961,55889,1498,1046,2015,Auto,14574,9574,96,1,46800
Volkswagen,Hatchback,2017,1,2933,2046,11080,78000,624,43986,55501,1395,1288,2016,Auto,25046,17065,110,1,70800
Bmw,Sports Car,2014,6,3870,1114,40910,73000,4568,140049,67304,4395,1875,2013,Auto,117683,183830,412,4,216888
Volkswagen,Luxury Sedan,2016,10,3018,1963,11570,58076,976,53578,56410,1798,1480,2016,Auto,31375,30925,132,1,77800
Mercedes-Benz,Luxury Sedan,2019,11,1889,3091,15060,30000,586,65405,39700,1332,1385,2019,Auto,35933,42307,120,2,148888
Bmw,Sports Car,2008,11,5907,2725,9210,170000,2335,24025,32121,2497,1525,2008,Auto,48714,48714,160,5,68888
Nissan,Suv,2016,6,3163,1816,11430,20800,1210,40209,47604,1997,1626,2016,Auto,22509,23513,106,1,68800
Audi,Hatchback,2009,4,5775,2855,8990,150000,1552,27766,35411,1984,1415,2009,Auto,36100,36100,188,6,70500
Mitsubishi,Mid-Sized Sedan,2009,9,5614,1054,8960,145000,881,7595,13088,1584,1132,2009,Manual,12453,12453,79,2,26000
Honda,Hatchback,2017,2,2897,2081,9960,50000,684,37835,50889,1498,1046,2016,Auto,16650,11650,96,1,62800
Audi,Luxury Sedan,2015,10,3379,1603,11060,83000,624,39681,57301,1395,1310,2015,Auto,27621,20670,92,3,59000
Mercedes-Benz,Sports Car,2016,11,3011,1970,18480,42188,740,61664,56089,1595,1475,2016,Auto,39138,41794,115,3,120800
Honda,Hatchback,2019,5,2080,2899,8290,39000,578,25418,26301,1317,1030,2019,Auto,15980,5980,73,1,69000
Porsche,Sports Car,2009,8,5656,2949,43830,50300,3989,32616,39936,3600,1765,2008,Auto,230819,230819,353,1,358000
Subaru,Sports Car,2009,1,5852,2779,9150,110000,2275,23909,31335,2457,1395,2008,Manual,21548,21548,169,4,69800
Volkswagen,Sports Car,2010,7,5297,3215,10770,135000,1313,31244,35416,1984,1466,2010,Auto,37388,37388,188,5,95000
Audi,Sports Car,2018,10,2287,2694,29800,23123,1776,82696,31301,2480,1585,2018,Auto,59673,79412,294,3,260000
Volkswagen,Sports Car,2011,11,4838,3520,9300,127813,1194,41233,42683,1984,1364,2011,Auto,36133,36133,188,5,89800
Toyota,Mpv,2019,12,1874,3106,21000,25000,3100,32303,37900,3456,2070,2017,Auto,40658,48922,206,1,179000
Mclaren,Sports Car,2012,11,4450,166,157150,20000,3634,156554,92100,3798,1514,2012,Auto,260177,260177,441,5,360000
Bmw,Luxury Sedan,2016,12,2967,2013,13830,75000,684,54132,56206,1499,1425,2016,Auto,31259,30763,100,3,91800
Toyota,Mpv,2011,11,4811,3640,9390,78000,1638,49662,49716,2362,1750,2011,Auto,39486,39486,125,3,93800
Porsche,Sports Car,2012,3,4690,291,250750,88000,3068,64633,82003,3436,1475,2012,Auto,116055,116055,257,1,260000
Mercedes-Benz,Hatchback,2015,6,3522,1462,14120,110000,740,37197,67601,1595,1370,2015,Auto,23164,14430,90,2,63800
Bentley,Sports Car,2012,11,4447,169,114770,46000,3940,107436,80191,3993,2295,2012,Auto,173887,173887,373,4,255800
Suzuki,Hatchback,2008,6,6060,235,9130,240000,957,7111,21485,1586,1100,2007,Auto,12985,12985,92,6,15111
Nissan,Mpv,2014,5,3897,1083,18680,76152,1786,49492,82000,2488,1975,2014,Auto,36021,42430,125,1,76888
Honda,Suv,2016,2,3281,1699,10980,72000,682,30294,51301,1496,1190,2015,Auto,19063,9063,96,2,55800
Mini,Hatchback,2009,3,5783,2849,7030,176000,965,19958,25525,1598,1105,2008,Auto,27941,27941,88,4,55000
Toyota,Mpv,2016,6,3143,1840,10870,90355,976,38671,47000,1798,1360,2016,Auto,19953,19953,105,1,64800
Bmw,Luxury Sedan,2015,8,3442,1541,14970,71000,684,46563,62140,1499,1425,2015,Auto,29993,28991,100,1,77800
Kia,Mid-Sized Sedan,2017,12,2589,2391,9000,65512,738,39553,42339,1591,1295,2017,Auto,15696,15696,95,2,66888
Mercedes-Benz,Suv,2019,11,1904,3076,18300,38000,1202,76298,41805,1991,1735,2019,Auto,44771,54680,155,1,181800
Honda,Mpv,2018,9,2329,2652,14050,39784,1630,49847,32311,2356,1858,2018,Auto,30826,35157,129,1,119800
Bmw,Mpv,2018,2,2543,2435,12140,42000,684,53152,40000,1499,1480,2017,Auto,30858,35202,75,1,98800
Hyundai,Mid-Sized Sedan,2018,5,2444,2535,8890,38500,738,35927,38941,1591,1345,2018,Auto,11757,11757,93,1,67800
Toyota,Mid-Sized Sedan,2009,4,5761,2870,5960,142166,965,20624,26175,1598,1195,2009,Auto,16990,16990,80,5,47000
Bmw,Luxury Sedan,2016,4,3205,1774,25830,84000,2384,105111,47000,2998,1770,2016,Auto,80796,117433,240,2,184588
Honda,Stationwagon,2016,7,3122,1831,10500,41300,682,31839,52301,1496,1130,2015,Auto,16878,6878,97,1,56988
Nissan,Suv,2015,11,3350,1631,11520,73000,1210,41746,58190,1997,1626,2015,Auto,21714,22400,106,1,62800
Honda,Hatchback,2008,10,5936,872,7100,164000,767,7252,15142,1339,1010,2008,Auto,12078,12078,73,4,17000
Bmw,Luxury Sedan,2013,6,4249,735,16090,155000,742,30841,67301,1598,1405,2013,Auto,33438,28814,100,3,46800
Mazda,Sports Car,2017,7,2766,2217,14440,47000,1210,63244,54616,1998,1080,2015,Auto,34472,40261,118,2,107888
Bmw,Luxury Sedan,2013,4,4304,311,14710,101000,742,27206,61029,1598,1405,2012,Auto,33423,28793,100,3,41800
Honda,Mpv,2008,4,6124,317,8940,120000,1369,7684,20441,1799,1350,2008,Auto,18941,18941,103,4,16800
Mitsubishi,Suv,2018,2,2547,2430,11350,52767,684,48737,42661,1499,1490,2017,Auto,25003,27005,120,1,89300
Volkswagen,Sports Car,2009,7,5661,2850,9440,140434,1433,25826,33018,1984,1339,2009,Auto,30274,30274,155,6,73800
Toyota,Mpv,2011,5,5013,3609,8460,130000,1802,46862,47316,2362,1770,2010,Auto,38965,38965,125,4,83800
Mazda,Mid-Sized Sedan,2017,4,2833,2146,9060,79000,682,38851,51600,1496,1310,2017,Auto,16256,11256,88,2,59000
Toyota,Mpv,2021,1,1477,3501,22400,4300,3100,96743,45510,3456,2110,2020,Auto,60590,81062,221,1,255800
Subaru,Suv,2016,5,3172,1807,13100,92000,1208,36185,51010,1995,1566,2016,Auto,15516,15516,110,2,72800
Toyota,Mid-Sized Sedan,2017,2,2898,2080,10320,52000,742,42654,48401,1598,1215,2016,Auto,19990,19990,90,2,69000
Skoda,Suv,2021,1,1469,3509,12900,4888,624,57840,45510,1395,1572,2020,Auto,26554,29176,110,1,138800
Mercedes-Benz,Luxury Sedan,2014,7,3858,1095,32250,89000,2382,116090,67304,2996,1935,2014,Auto,97016,146629,245,2,172888
Mercedes-Benz,Luxury Sedan,2017,6,2788,2195,14910,50000,740,48533,48000,1595,1430,2017,Auto,28004,26206,90,3,102800
Toyota,Suv,2020,1,1835,3144,13820,16900,1210,55109,37989,1998,1695,2019,Auto,30808,35132,170,1,136800
Honda,Stationwagon,2017,2,2897,2081,9850,82210,682,34567,48401,1496,1130,2016,Auto,19189,9189,97,1,60888
Mercedes-Benz,Hatchback,2020,9,1584,3396,15240,5000,586,69385,40989,1332,1375,2019,Auto,35432,41605,120,1,162800
Porsche,Suv,2016,1,3298,1682,38700,48800,3330,152903,58190,3604,2160,2015,Auto,115562,180012,309,3,268888
Toyota,Mid-Sized Sedan,2016,5,3193,1786,10190,83000,742,36922,47300,1598,1205,2015,Auto,19589,19589,90,1,59800
Nissan,Hatchback,2015,6,3506,1478,9350,68688,508,30244,66000,1198,1080,2015,Auto,13995,5000,72,2,40388
Lexus,Luxury Sedan,2010,5,5361,3270,9350,198938,2618,30128,33568,2995,1660,2010,Auto,58167,58167,183,5,83888
Volkswagen,Sports Car,2013,5,4264,351,21070,121000,1194,36627,67304,1984,1364,2012,Auto,36039,42455,188,4,62800
Bmw,Luxury Sedan,2010,7,5326,3309,9910,131000,2598,30450,33568,2979,1700,2010,Auto,59744,59744,225,3,89888
Mercedes-Benz,Luxury Sedan,2014,3,3960,1021,17570,104500,1202,53458,80710,1991,1655,2013,Auto,45943,51321,135,2,75000
Mitsubishi,Mid-Sized Sedan,2008,1,6218,205,8150,230000,958,6703,21349,1499,1313,2007,Auto,16277,17905,80,2,12800
Kia,Mid-Sized Sedan,2009,3,5810,2817,7210,163000,959,19905,25727,1591,1251,2009,Auto,13674,7106,92,4,55800
Mitsubishi,Mid-Sized Sedan,2008,8,5998,355,6300,123000,954,7576,19096,1584,1162,2008,Manual,10204,7778,79,2,12500
Mini,Sports Car,2021,3,1428,3549,18090,5000,1210,72359,47506,1998,1235,2020,Auto,39643,47501,225,1,200000
Honda,Hatchback,2019,4,2107,2872,8000,20000,578,25054,26659,1317,1030,2019,Auto,15378,5378,73,1,65800
Mercedes-Benz,Luxury Sedan,2020,7,1653,3299,30820,24204,2382,129604,35889,2996,1940,2019,Auto,87297,129135,200,1,345800
Volkswagen,Sports Car,2010,2,5475,3156,8530,160000,1433,32981,38071,1984,1393,2009,Auto,30348,30348,155,4,73888
Honda,Suv,2016,4,3200,1779,10230,76000,682,29629,46651,1496,1190,2015,Auto,19753,9753,96,1,54900
Toyota,Suv,2008,6,6078,732,10870,146000,2129,7602,18953,2362,1600,2008,Auto,28362,28362,118,2,21800
Hyundai,Mid-Sized Sedan,2019,7,2015,2938,7930,46000,738,32701,28589,1591,1345,2019,Auto,12584,12584,93,1,70800
Toyota,Mpv,2017,8,2708,2274,13930,72000,1638,64171,50526,2362,1760,2016,Auto,37090,43926,125,2,108800
Kia,Mid-Sized Sedan,2019,7,2009,2944,9140,19998,738,43902,36704,1591,1287,2018,Auto,18634,18634,93,1,83800
Honda,Mpv,2017,12,2611,2369,13820,49000,1630,62883,57390,2356,1855,2017,Auto,30068,34096,129,1,106888
Mercedes-Benz,Suv,2020,7,1665,3287,54180,7780,3922,217691,38000,3982,2560,2020,Auto,154853,250736,430,1,618000
Bmw,Suv,2013,6,4251,733,16620,140000,1210,36931,67304,1997,1510,2013,Auto,37160,39024,135,3,52888
Mazda,Mpv,2008,11,5910,875,8240,150000,1576,7756,16140,1999,1527,2008,Auto,20746,20746,107,4,19800
Mazda,Mid-Sized Sedan,2017,8,2717,2265,9260,46601,682,37007,46778,1496,1310,2017,Auto,15605,10605,88,1,62800
Bmw,Luxury Sedan,2011,2,5084,3520,7950,145000,1976,41233,42683,2497,1650,2011,Auto,41236,41236,150,4,76800
Bmw,Suv,2019,8,1981,3001,13060,42000,684,62364,40002,1499,1430,2019,Auto,35726,42017,103,1,128500
Bmw,Sports Car,2016,5,3185,1794,14830,75558,684,42226,49602,1499,1360,2016,Auto,27426,25397,100,1,85800
Honda,Hatchback,2015,8,3465,1489,10570,90000,684,29976,55889,1498,1046,2015,Auto,14574,9574,96,1,48800
Audi,Luxury Sedan,2019,9,1948,3033,13720,22000,1194,60232,40002,1984,1480,2019,Auto,33720,39208,140,1,133800
Mercedes-Benz,Hatchback,2015,10,3402,1580,12970,95000,740,37716,56209,1595,1395,2015,Auto,22896,19055,90,2,65788
Mazda,Mid-Sized Sedan,2017,6,2779,2204,8760,77000,682,35405,46489,1496,1310,2017,Auto,14761,9761,88,3,57800
Lexus,Suv,2017,3,2885,2095,20210,67174,1210,84011,50621,1998,2070,2017,Auto,56222,73200,175,1,152800
Honda,Suv,2016,5,3176,1803,11090,68049,682,29637,46009,1496,1190,2016,Auto,19781,9781,96,2,59800
Audi,Luxury Sedan,2017,12,2588,2392,14760,25054,624,58536,57390,1395,1450,2017,Auto,32726,27817,110,1,110800
Volvo,Luxury Sedan,2014,10,3743,1239,10640,131048,1176,38218,74801,1969,1557,2014,Auto,27981,21174,180,1,46800
Subaru,Suv,2016,11,2994,1986,12020,78000,1210,46502,56206,1998,1682,2016,Auto,20817,21144,177,1,76100
Mercedes-Benz,Luxury Sedan,2018,1,2557,2422,15860,36000,740,64354,47002,1595,1425,2017,Auto,37239,44135,115,1,127500
Mitsubishi,Mid-Sized Sedan,2010,1,5481,2910,6110,124000,881,22278,27886,1584,1162,2009,Auto,13067,13067,79,1,48800
Porsche,Suv,2016,11,2987,1993,27370,54500,1194,92396,53001,1984,1845,2016,Auto,62517,84531,185,2,192000
Lexus,Luxury Sedan,2018,7,2382,2571,15270,47700,1210,57565,32551,1998,1620,2018,Auto,38430,45802,180,1,131800
Honda,Mid-Sized Sedan,2018,6,2406,2577,10700,40000,742,42477,38510,1597,1249,2018,Auto,20254,20356,92,1,85800
Audi,Suv,2020,3,1773,3206,17010,29000,624,52175,30012,1395,1545,2020,Auto,30259,34363,110,1,166800
Nissan,Mid-Sized Sedan,2015,8,3442,1541,8420,135000,742,35814,57498,1598,1205,2015,Auto,16439,16439,85,1,43800
Mercedes-Benz,Sports Car,2012,7,4577,3640,12090,133000,974,49662,49716,1796,1500,2011,Auto,58269,58269,150,2,120800
Toyota,Mid-Sized Sedan,2015,3,3620,1359,10480,110000,742,33791,65001,1598,1205,2015,Auto,19589,14589,90,2,46500
Audi,Luxury Sedan,2019,9,1948,3033,15720,34000,1194,65276,40002,1984,1535,2019,Auto,38524,45934,140,2,153800
Toyota,Mid-Sized Sedan,2010,11,5195,3399,5660,73100,752,30897,33140,1497,1095,2010,Auto,12331,12331,80,2,52800
Mercedes-Benz,Hatchback,2013,7,4213,741,14150,73500,740,25016,67301,1595,1425,2013,Auto,25714,18000,115,2,38888
Nissan,Suv,2016,12,2973,2007,11710,86800,1210,49356,56206,1997,1626,2016,Auto,23227,24518,106,2,76800
Honda,Stationwagon,2017,6,2791,2192,9860,55000,682,34790,46489,1496,1130,2016,Auto,19144,9144,97,1,63800
Nissan,Suv,2016,3,3233,1747,11680,95000,1210,42794,55089,1997,1626,2016,Auto,22509,23513,106,2,67800
Nissan,Suv,2019,2,2167,2811,10810,6600,1210,45810,35403,1997,1425,2018,Auto,23311,24636,106,1,95800
Hyundai,Mid-Sized Sedan,2010,1,5506,1300,6440,158000,886,11424,15988,1591,1264,2009,Auto,11406,11406,89,3,22999
Toyota,Mid-Sized Sedan,2009,9,5614,3019,6130,113081,890,24420,29485,1598,1195,2009,Auto,17853,17853,80,3,50800
Audi,Sports Car,2008,8,6013,2580,24150,70000,5468,26398,36888,4163,1565,2008,Auto,142498,142498,309,6,172800
Mercedes-Benz,Luxury Sedan,2016,2,3257,1722,18410,75000,1202,70842,50089,1991,1680,2015,Auto,52959,67327,155,1,120800
Toyota,Mid-Sized Sedan,2009,1,5860,2771,7070,158638,887,19817,26047,1496,1200,2008,Auto,15989,15989,81,1,53800
Subaru,Mid-Sized Sedan,2008,12,5881,2751,6600,140000,889,20818,27571,1498,1325,2008,Auto,13863,13863,79,4,49800
Mercedes-Benz,Luxury Sedan,2017,3,2871,2109,15050,71000,740,50025,50991,1595,1430,2017,Auto,28815,27341,90,2,100800
Toyota,Mid-Sized Sedan,2015,4,3571,1409,10970,75000,742,35729,67749,1598,1205,2015,Auto,19589,14589,90,1,49800
Hummer,Suv,2009,6,5704,2910,13870,91000,4090,31607,39563,3653,2231,2008,Auto,28987,28987,180,6,110800
Honda,Suv,2016,4,3197,1782,11110,85223,682,30718,47300,1496,1190,2015,Auto,20571,10800,96,1,59800
Honda,Hatchback,2009,6,5717,1089,7510,148000,708,8944,14920,1339,1010,2009,Auto,14611,14611,73,3,22500
Audi,Luxury Sedan,2017,11,2631,2349,14250,35000,624,57875,57414,1395,1450,2017,Auto,32726,27817,110,1,105800
Toyota,Luxury Sedan,2016,11,2997,1983,11040,99000,1792,55757,56410,2494,1475,2016,Auto,29570,33398,133,2,76800
Honda,Hatchback,2010,3,5418,1389,7810,112000,708,12674,16604,1339,1010,2010,Auto,15168,15168,73,3,29800
Mercedes-Benz,Suv,2016,12,2967,2013,21560,49000,1202,69238,53001,1991,1735,2016,Auto,43761,53266,155,2,145800
Lexus,Luxury Sedan,2016,7,3127,1825,15050,88000,1210,61871,56000,1998,1620,2016,Auto,37505,44507,180,2,98800
Bmw,Luxury Sedan,2017,10,2659,2322,13820,33421,684,56345,49012,1499,1425,2017,Auto,33232,33525,100,2,104800
Suzuki,Hatchback,2009,4,5776,1025,7200,129000,694,7196,12763,1242,1000,2008,Auto,11111,11111,66,4,20300
Infiniti,Luxury Sedan,2015,1,3666,1314,13280,48000,1202,54252,75289,1991,1644,2014,Auto,35433,41607,155,2,68800
Hyundai,Hatchback,2019,12,1874,3106,9140,22000,600,41522,33009,1353,1240,2019,Auto,17850,17850,95,1,86800
Lamborghini,Sports Car,2012,10,4474,143,135920,30728,5834,110488,92700,5204,1500,2011,Auto,177938,177938,405,3,278888
Hyundai,Mid-Sized Sedan,2014,10,3758,1224,8910,54700,238,24754,46880,1591,1292,2014,Auto,13838,13838,97,1,36888
Toyota,Suv,2020,1,1826,3153,13890,10000,1210,58982,37705,1998,1695,2019,Auto,30808,35132,170,1,137800
Mercedes-Benz,Suv,2020,2,1806,3172,13650,15211,740,54379,35010,1595,1435,2019,Auto,28463,31849,90,1,134800
Honda,Stationwagon,2016,6,3155,1828,9780,80000,682,29255,47020,1496,1130,2016,Auto,17591,7591,97,1,52800
Bmw,Sports Car,2011,1,5137,3490,16580,106000,4343,38985,40714,3999,1675,2010,Auto,86751,86751,309,3,158800
Nissan,Mid-Sized Sedan,2008,8,6005,804,7620,155240,889,7542,17099,1498,1110,2007,Auto,13631,13631,80,2,16800
Toyota,Mid-Sized Sedan,2009,4,5756,1050,7710,116100,889,7566,13088,1497,1095,2009,Auto,12104,12104,80,3,22277
Mercedes-Benz,Luxury Sedan,2018,12,2240,2740,20200,28054,1202,81904,31302,1991,1615,2018,Auto,58787,77817,155,1,190800
Hyundai,Mid-Sized Sedan,2016,9,3057,1924,9150,57700,738,36924,51506,1591,1345,2016,Auto,12975,12975,93,1,54800
Honda,Hatchback,2008,6,6070,324,7900,104000,767,7339,19328,1339,1040,2008,Auto,14433,14433,60,2,15000
Volkswagen,Hatchback,2015,12,3346,1635,10770,45000,124,25425,42200,1395,1249,2014,Auto,19251,9251,90,2,53000
Honda,Mpv,2016,5,3177,1802,13950,45917,1630,48678,51010,2356,1855,2016,Auto,29616,33463,129,1,85800
Bmw,Luxury Sedan,2011,5,4992,3639,7490,63732,1208,49648,49716,1995,1390,2011,Auto,30911,30911,100,2,74822
Volkswagen,Mid-Sized Sedan,2017,5,2800,2179,9560,48000,620,46490,51106,1390,1417,2016,Auto,20867,21214,90,2,67800
Mitsubishi,Mid-Sized Sedan,2009,10,5571,1025,8090,216790,821,7196,12763,1499,1313,2009,Auto,18868,18868,80,3,22800
Renault,Sports Car,2018,9,2317,2664,16320,27000,976,50133,32551,1798,1430,2018,Auto,30800,35120,205,2,136888
Volvo,Hatchback,2017,9,2682,2299,10120,65000,684,42014,42902,1498,1454,2017,Auto,23530,19942,90,1,73800
Toyota,Luxury Sedan,2008,7,6040,324,7650,140000,2129,7762,20441,2362,1540,2008,Auto,28436,28436,123,3,14518
Honda,Suv,2018,6,2405,2578,9550,25200,682,36982,38941,1496,1190,2018,Auto,21863,12609,96,1,73800
Hyundai,Mid-Sized Sedan,2016,1,3303,1677,9170,90000,738,31308,45002,1591,1292,2015,Auto,15100,15100,97,2,49800
Mercedes-Benz,Luxury Sedan,2016,2,3274,1705,26990,43000,2382,128316,54920,2996,1935,2015,Auto,96961,146530,245,2,199800
Mercedes-Benz,Suv,2019,1,2206,2773,19520,55300,1202,64624,31001,1991,1735,2018,Auto,44782,54695,155,1,176000
Toyota,Mid-Sized Sedan,2015,10,3394,1588,11030,27800,742,37347,57089,1598,1205,2015,Auto,17804,17804,90,2,57000
Mercedes-Benz,Sports Car,2020,11,1532,3447,26350,3688,1202,96712,40690,1991,1635,2020,Auto,58688,77639,310,1,288000
Bmw,Sports Car,2010,12,5158,3399,11460,144000,2598,32571,34935,2979,1525,2010,Auto,60576,60576,250,6,106800
Bmw,Luxury Sedan,2013,11,4079,902,17980,110000,1210,54845,79300,1997,1615,2013,Auto,50910,58638,180,2,73888
Mercedes-Benz,Hatchback,2016,11,2989,1991,13170,51000,740,42091,50000,1595,1395,2016,Auto,23345,19683,90,1,81800
Toyota,Mpv,2006,11,6637,1849,7850,185000,2457,24572,48479,2362,1780,2006,Auto,32961,36258,125,3,39800
Mitsubishi,Mid-Sized Sedan,2018,5,2438,2541,7610,29809,506,30623,38510,1193,940,2018,Auto,13719,5000,59,1,55588
Mitsubishi,Mid-Sized Sedan,2009,9,5629,1180,13530,190000,821,9497,14664,1499,1313,2009,Auto,16879,16879,80,5,43800
Subaru,Suv,2018,6,2424,2559,10730,55000,1208,36771,37989,1995,1591,2018,Auto,13488,13488,110,1,82000
Mercedes-Benz,Hatchback,2014,6,3876,1108,13010,103000,740,29953,63190,1595,1425,2013,Auto,24674,16544,90,2,47800
Hyundai,Mid-Sized Sedan,2019,8,1988,2994,8350,24068,738,37892,32725,1591,1345,2019,Auto,14695,14695,93,1,75888
Mazda,Suv,2016,5,3165,1814,11980,68000,1786,47965,51010,2488,1568,2016,Auto,28718,32206,141,1,75800
