Brand,Type,Reg_year,Reg_month,Days_since_registration,Coe_left,Depreciation,Mileage,Road_Tax,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,ARF,Power,Number_of_Owners,Price
Bmw,Suv,2017,5,2808,2171,13870,60200,684,55418,55000,1499,1430,2017,Auto,30855,30197,100,1,97800
Audi,Suv,2018,2,2543,2435,12180,58125,392,46178,36890,999,1315,2017,Auto,26197,28676,85,1,95800
Mercedes-Benz,Hatchback,2019,6,2052,2931,14210,21000,586,59363,42564,1332,1405,2019,Auto,29676,33547,100,1,130988
Audi,Suv,2015,11,3354,1627,14420,112000,1194,55836,61103,1984,1615,2015,Auto,34828,40760,132,1,84800
Hyundai,Mid-Sized Sedan,2016,1,3288,1692,9070,91164,738,34523,51301,1591,1292,2015,Auto,15245,15245,97,2,49800
Toyota,Mid-Sized Sedan,2008,12,5888,919,7130,158289,889,6965,13786,1497,1110,2008,Auto,13245,13245,80,3,18000
Kia,Suv,2019,4,2128,2852,7420,29689,70,13617,8920,998,1185,2018,Auto,18847,8847,88,1,62500
Mercedes-Benz,Luxury Sedan,2017,4,2849,2130,15100,68000,740,50239,50789,1595,1430,2016,Auto,28839,27375,90,1,101988
Suzuki,Hatchback,2008,4,6127,314,7910,156000,1030,7233,19328,1586,1220,2008,Auto,13600,13600,75,4,14800
Nissan,Mid-Sized Sedan,2018,3,2496,2484,8580,71801,742,38342,38000,1598,1205,2018,Auto,16572,16572,85,1,66800
Mercedes-Benz,Stationwagon,2019,8,1987,2995,13910,17500,740,48795,27000,1595,1430,2019,Auto,31065,35491,90,1,131988
Mercedes-Benz,Stationwagon,2018,6,2422,2561,14030,52000,740,54424,38000,1595,1430,2018,Auto,32133,36987,90,1,116988
Toyota,Suv,2017,4,2850,2129,13900,52000,1196,53331,54000,1986,1610,2015,Auto,30008,29012,111,1,95800
Honda,Mid-Sized Sedan,2018,10,2302,2679,11900,41738,684,46867,32551,1498,1324,2018,Auto,27562,30587,127,1,102800
