Brand,Type,Reg_year,Coe_left,Depreciation,Mileage,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,Power,Number_of_Owners,Price
Kia,Mid-Sized Sedan,2018,2528,8080,41000,35256,38510,1591,1295,2017,Auto,11361,95,1,61800
Audi,Luxury Sedan,2014,1208,15270,104000,50154,74801,1984,1565,2013,Auto,38197,132,3,70888
Honda,Mid-Sized Sedan,2018,2558,11760,56000,47312,37000,1498,1324,2018,Auto,26476,127,1,98000
Toyota,Mid-Sized Sedan,2016,1682,8660,36489,26655,28002,1598,1205,2015,Auto,19589,90,2,49800
Mercedes-Benz,Suv,2019,3095,19910,24511,74791,42020,1991,1735,2019,Auto,45235,155,1,196800
Subaru,Suv,2016,1751,13340,80000,33750,47604,1995,1566,2016,Auto,15515,110,2,71888
Volkswagen,Hatchback,2015,1338,13890,115000,28555,62002,1395,1249,2014,Auto,22719,90,3,55555
Land Rover,Suv,2017,2150,16380,49809,79068,54556,1999,1841,2017,Auto,50339,177,2,127998
Honda,Suv,2007,118,10910,150149,6704,25226,1799,1410,2007,Auto,19569,103,4,14500
Ferrari,Sports Car,2013,295,229890,30000,270803,95501,4497,1565,2013,Auto,460829,416,2,648000
Honda,Mid-Sized Sedan,2008,347,7900,160000,7594,19356,1799,1219,2008,Auto,21092,103,4,15500
Toyota,Mid-Sized Sedan,2008,300,7370,197000,7085,19328,1598,1195,2008,Auto,16994,80,6,13500
Honda,Stationwagon,2019,2920,8580,23000,29723,28589,1496,1130,2019,Auto,18791,97,1,73800
Jaguar,Luxury Sedan,2016,1850,17900,41100,115932,57508,1999,1804,2015,Auto,79478,177,1,149800
Kia,Mid-Sized Sedan,2020,3199,8900,15000,43521,32999,1591,1287,2019,Auto,19406,93,1,87800
Bmw,Luxury Sedan,2014,1266,18780,138483,65003,73900,1997,1615,2014,Auto,52258,180,1,95888
Toyota,Suv,2018,2675,13960,45442,51954,31301,1998,1695,2018,Auto,33306,170,1,121800
Mercedes-Benz,Hatchback,2017,2206,12900,59600,46010,51765,1595,1395,2017,Auto,23295,90,1,87800
Mercedes-Benz,Luxury Sedan,2017,2081,13840,80600,49664,50951,1595,1430,2016,Auto,28839,90,3,92800
Mercedes-Benz,Luxury Sedan,2018,2489,19340,69953,86898,42322,1991,1615,2018,Auto,58503,155,1,170800
Bmw,Sports Car,2015,1571,21530,98730,82235,61001,1997,1700,2014,Auto,59972,180,3,132800
Audi,Suv,2010,1380,12610,152000,13429,17708,1984,1740,2009,Auto,39396,155,3,47800
Volvo,Hatchback,2016,1825,10450,70000,40882,52301,1498,1450,2016,Auto,22879,90,1,62688
Hyundai,Mid-Sized Sedan,2009,1240,6400,156000,10412,15287,1591,1264,2009,Auto,11400,89,2,21800
Bmw,Suv,2017,2171,13870,60200,55418,55000,1499,1430,2017,Auto,30855,100,1,97800
Audi,Suv,2018,2435,12180,58125,46178,36890,999,1315,2017,Auto,26197,85,1,95800
Mercedes-Benz,Hatchback,2019,2931,14210,21000,59363,42564,1332,1405,2019,Auto,29676,100,1,130988
Audi,Suv,2015,1627,14420,112000,55836,61103,1984,1615,2015,Auto,34828,132,1,84800
Hyundai,Mid-Sized Sedan,2016,1692,9070,91164,34523,51301,1591,1292,2015,Auto,15245,97,2,49800
Toyota,Mid-Sized Sedan,2008,919,7130,158289,6965,13786,1497,1110,2008,Auto,13245,80,3,18000
Kia,Suv,2019,2852,7420,29689,13617,8920,998,1185,2018,Auto,18847,88,1,62500
Mercedes-Benz,Luxury Sedan,2017,2130,15100,68000,50239,50789,1595,1430,2016,Auto,28839,90,1,101988
Suzuki,Hatchback,2008,314,7910,156000,7233,19328,1586,1220,2008,Auto,13600,75,4,14800
Nissan,Mid-Sized Sedan,2018,2484,8580,71801,38342,38000,1598,1205,2018,Auto,16572,85,1,66800
Mercedes-Benz,Stationwagon,2019,2995,13910,17500,48795,27000,1595,1430,2019,Auto,31065,90,1,131988
Mercedes-Benz,Stationwagon,2018,2561,14030,52000,54424,38000,1595,1430,2018,Auto,32133,90,1,116988
Toyota,Suv,2017,2129,13900,52000,53331,54000,1986,1610,2015,Auto,30008,111,1,95800
Honda,Mid-Sized Sedan,2018,2679,11900,41738,46867,32551,1498,1324,2018,Auto,27562,127,1,102800
Honda,Mid-Sized Sedan,2019,2928,10080,35000,38735,29159,1597,1237,2019,Auto,20084,92,1,91800
Bmw,Sports Car,2016,1781,15470,50000,41412,49501,1499,1360,2016,Auto,26848,100,2,88000
Nissan,Mid-Sized Sedan,2018,2567,8470,55805,37952,36426,1598,1205,2018,Auto,16419,85,1,67800
Mercedes-Benz,Luxury Sedan,2010,3261,8920,137600,30046,33568,1796,1650,2009,Auto,39845,150,4,79800
Subaru,Suv,2017,2301,12570,69666,42664,47501,1998,1682,2017,Auto,16906,177,2,87800
Toyota,Luxury Sedan,2006,1849,9250,191249,24572,48479,1998,1530,2006,Auto,28129,108,3,46900
Hyundai,Mid-Sized Sedan,2017,2268,8590,49212,38084,45923,1591,1345,2017,Auto,12698,93,2,59800
Mercedes-Benz,Suv,2019,2908,13770,30445,45170,26659,1595,1435,2019,Auto,28463,90,1,125888
Mercedes-Benz,Luxury Sedan,2017,2137,15170,45500,52519,51765,1595,1430,2017,Auto,30372,90,1,103800
Hyundai,Mid-Sized Sedan,2019,2767,7970,48584,25762,25501,1368,1115,2018,Auto,8517,73,1,64800
Honda,Suv,2016,1958,10130,87069,40229,51506,1496,1185,2016,Auto,21244,96,2,62800
Hyundai,Mid-Sized Sedan,2018,2628,8510,29000,32513,33798,1591,1345,2018,Auto,10867,93,1,66800
Honda,Mpv,2016,1937,12100,95305,53704,57002,2356,1769,2016,Auto,28006,129,2,79900
Honda,Mid-Sized Sedan,2008,2674,7610,93850,23683,32279,1998,1312,2008,Auto,22248,114,1,55800
Mercedes-Benz,Hatchback,2016,1744,13630,90000,38162,51301,1595,1395,2015,Auto,23157,90,2,75000
Subaru,Suv,2015,1630,11960,100000,35911,57501,1995,1566,2015,Auto,14528,110,2,60800
Rolls-Royce,Luxury Sedan,2013,354,198240,9900,218757,91910,6592,2495,2012,Auto,364652,420,1,575000
Volvo,Luxury Sedan,2020,3302,12720,8000,57377,34989,1969,1605,2019,Auto,33814,140,2,135888
Volkswagen,Hatchback,2015,1592,9810,74200,29835,55399,1197,1229,2015,Auto,18038,77,2,46888
Mazda,Luxury Sedan,2015,1328,11760,133000,32004,75200,1998,1438,2014,Auto,17073,114,1,46500
Mercedes-Benz,Sports Car,2008,2575,8920,218000,26763,37906,2997,1525,2008,Auto,63086,170,3,63000
Mercedes-Benz,Luxury Sedan,2020,3144,18510,34000,82120,38000,1991,1615,2018,Auto,54498,135,1,194800
Mercedes-Benz,Luxury Sedan,2019,2893,15820,32000,69834,48000,1595,1490,2018,Auto,35914,115,1,146800
Toyota,Mid-Sized Sedan,2015,1599,10480,82877,38291,56001,1598,1205,2015,Auto,19589,90,2,55800
Mazda,Mid-Sized Sedan,2009,1196,7520,163000,9686,14743,1598,1275,2009,Auto,20080,77,5,24700
Opel,Suv,2018,2468,8250,20000,42678,38830,1199,1203,2018,Auto,21304,81,2,66800
Audi,Suv,2015,1603,15650,37000,50023,60000,1395,1480,2015,Auto,29898,110,2,85800
Honda,Suv,2016,1668,10320,62000,32453,56989,1496,1190,2015,Auto,19068,96,1,51800
Volkswagen,Hatchback,2016,1985,9860,66000,34841,52668,1197,1229,2016,Auto,18188,81,1,57800
Ford,Hatchback,2016,1768,8340,63000,32706,46009,1596,1408,2015,Auto,14795,92,3,47888
Ford,Hatchback,2015,1663,7190,26000,27081,37301,1596,1408,2015,Auto,14350,92,1,40000
Honda,Hatchback,2015,1629,9740,107545,32390,56001,1498,1046,2015,Auto,15479,96,2,48800
Hyundai,Mid-Sized Sedan,2018,2410,8750,78000,34122,38200,1591,1345,2017,Auto,11796,93,1,63800
Bmw,Suv,2016,1815,14250,68850,44178,49700,1499,1430,2016,Auto,29368,100,1,85100
Bmw,Sports Car,2015,1418,33830,40000,117725,72100,2979,1635,2014,Auto,92240,317,3,200888
Toyota,Mid-Sized Sedan,2016,1833,10030,53217,39579,53694,1598,1205,2016,Auto,16800,90,1,58800
Nissan,Sports Car,2011,3573,25800,62000,46760,47701,3799,1740,2008,Auto,28509,353,2,252888
Hyundai,Mid-Sized Sedan,2016,1730,9500,55128,34875,51000,1591,1292,2015,Auto,15245,97,2,52800
Bmw,Luxury Sedan,2018,2451,13990,24000,55696,39000,1499,1425,2017,Auto,33755,100,1,113800
Mercedes-Benz,Luxury Sedan,2015,1436,16970,49150,64695,77600,1991,1680,2014,Auto,46713,155,2,93200
Porsche,Sports Car,2020,3143,37680,16000,157616,37109,2995,1815,2019,Auto,108593,243,1,408800
Bmw,Luxury Sedan,2007,2052,7360,110000,29677,52660,1995,1395,2006,Auto,42106,110,2,41500
Bmw,Suv,2010,3396,9330,95000,32542,34935,1995,1455,2010,Auto,28183,110,5,86888
Bmw,Luxury Sedan,2012,352,22080,105000,29579,85216,1997,1610,2012,Auto,42536,135,3,42800
Mercedes-Benz,Luxury Sedan,2017,2350,18630,66500,84804,57414,1991,1605,2016,Auto,50945,135,2,152000
Porsche,Sports Car,2008,2335,16990,120000,32316,50451,3387,1395,2007,Auto,59163,217,4,108800
Nissan,Mid-Sized Sedan,2009,1085,7630,113000,8328,13943,1498,1175,2009,Auto,19247,80,4,22800
Toyota,Mpv,2009,3034,8390,132000,31579,37941,2362,1770,2008,Auto,35805,125,3,69800
Kia,Mid-Sized Sedan,2018,2446,9110,45000,39214,41400,1591,1295,2017,Auto,15203,95,2,68800
Honda,Mid-Sized Sedan,2019,3010,8460,18700,27389,14917,1597,1237,2019,Auto,20072,92,1,79888
Kia,Mid-Sized Sedan,2019,2894,9030,35000,32612,23568,1591,1287,2018,Auto,18515,93,1,81000
